年度,選舉種類,選舉種類名稱,admin_code_system,省市,縣市,選舉區,選舉區_語意,鄉鎮市區,村里,行政區名稱,縣市_正規化,鄉鎮市區_正規化,號次,姓名,政黨代號,政黨名稱,性別,年齡,年齡_原始,現任,當選註記,當選註記語意,當選,當選_依據
2016,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,10,林琮翰,1,中國國民黨,1,46,46,N,,未當選,N,elctks_檔別合計
2016,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,11,陳瑩,16,民主進步黨,2,43,43,N,*,當選,Y,elctks_檔別合計
2016,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,12,嘎礌‧武拜‧哈雅萬 Galahe‧Wubai‧Hayawan,999,無黨籍及未經政黨推薦,1,41,41,N,,未當選,N,elctks_檔別合計
2016,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,13,廖國棟 Sufin．Siluko,1,中國國民黨,1,61,61,Y,*,當選,Y,elctks_檔別合計
2016,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,1,林世偉,999,無黨籍及未經政黨推薦,1,49,49,N,,未當選,N,elctks_檔別合計
2016,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,2,尤命‧蘇樣,251,中國生產黨,1,53,53,N,,未當選,N,elctks_檔別合計
2016,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,3,曾華德,999,無黨籍及未經政黨推薦,1,62,62,N,,未當選,N,elctks_檔別合計
2016,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,4,瓦歷斯‧貝林 Walis‧Perin,16,民主進步黨,1,63,63,N,,未當選,N,elctks_檔別合計
2016,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,5,伊藍．明基努安,283,信心希望聯盟,1,45,45,N,,未當選,N,elctks_檔別合計
2016,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,6,孔文吉,1,中國國民黨,1,58,58,Y,*,當選,Y,elctks_檔別合計
